Channel,message,category
Cucumber,"Hi Team, I just recently upgraded our cucumber-jvm version ever since then I am getting following error ",fear
Cucumber,So github is trying to replace irc :P,fear
Cucumber,"@aslakhellesoy Thanks , seems like I was using older version of cucumber-core , updated the maven with specific version and things started working ",joy
Cucumber,@Sidkiyassine just call the methods directly!,surprise
Cucumber,"Hello guys, need a help.I want to call the run my featute file by calling the cucumber.cli.Main form a java class by passing the the parameters like tags ,format..I its possible.I don want to use cucumber options as I have to pass the tag name s as a variable ...",fear
Cucumber,"Hello guys,\nIs it possible to get  test coverage using jacoco for android tests?\ndefaultConfig {\n              testInstrumentationRunner \cucumber.api.android.CucumberInstrumentation\\n    }",fear
Cucumber,"hey everyone, can someone help me out with running a feature file with specific tags included and excluded?",fear
Cucumber,and the above doesnt seem to work :(,fear
Cucumber,or does it create a new object every time also?,fear
Cucumber,"I think, but it's been a while since I did ruby cucumbers, that objects created in ruby stepdefs files not inside of a Before aren't re-initialized every time",fear
Cucumber,is that assumption correct?,fear
Cucumber,"hey everyone, is it possible to run only a subset of examples in a table for scenario outline?",fear
Cucumber,is it possible to tag specific table entries instead?,fear
Cucumber,"ah, interesting. Ill play around with this :)",joy
Cucumber,"1) it doesn\u2019t seem to call the constructor, or even instanciate final fields, which is a bit of a pain",anger
Cucumber,2) there doesn\u2019t seem to be any way to use transforms in conjunction with it (I don\u2019t really understand how transforms work on Cucumber JVM but that\u2019s what people told me) which would help give you more flexibility,fear
Cucumber,"Seems a bit weak to me. It\u2019s a shame we haven\u2019t had any PRs about this, but I guess a lot of our enterprisey users just don\u2019t consider doing that (or aren\u2019t allowed to while at work)",anger
Cucumber,"But, I do not know how to make coexist the two versions, one for 3 and another for 4 in the same trunk, without duplicate code.",sadness
Cucumber,Again - would need a ticket in order to prioritise this. If there is no ticket the problem doesn't exist.,anger
Cucumber,"its something ive been planning to do as well, let me know if you make any progress :)",love
Cucumber,"@nablik if you re-run tests and they pass, I assume you've changed something to make them pass. Wouldn't that invalidate the previous test results?",fear
Cucumber,@Simon-Kaz your tests are trying to tell you something. They are trying to tell you your design is too tightly coupled to this external service.,anger
Cucumber,What's the value of a test result if the tests fail intermittently and have to be run several times in order to pass?,anger
Cucumber,@Simon-Kaz have you considered adopting a ports and adapters design so you can test without depending on external services you don't control?,anger
Cucumber,@nablik so what exactly are you testing? That you can retrieve the data from the 3rd party service? That you\u2019re displaying it properly? Testing both of those in the same test is very inefficient. I\u2019d split that up in independent tests.,anger
Cucumber,"@aslakhellesoy : My question here is not how to test or not. I have tests that cover each module separately. This one is more end to end test, in integration level. However, my question is related to merging 2 cucumber report into one instead of overwriting it. ",fear
Cucumber,i found a discussion on this topic but i cant find any resolution to it https://groups.google.com/forum/#!searchin/cukes/alias$20jbehave/cukes/enPlH3xut2E/Z-KyVl18ytwJ,sadness
Cucumber,"@aslakhellesoy  yes, removing cucumber-java from the classpath fixes that issue. Thanks. ",joy
Cucumber,"Hi, I am trying to run my test, but I can only see that my first test is running, but my second step in the steps definitions is not being executed, plz help, thanks",fear
Cucumber,Has anyone had any joy using cucumber-jvm to  allow bdd of a  Netbeans Platform App? Or am I barking up the wrong tree?,fear
Cucumber,i have a query.. i have multiple feature files but all definations dump into single step defination file.,fear
Cucumber,now problem is that i want to make multiple step defination files.. but here i did not find any way to share variable between two step defs... ,fear
Cucumber,the work around would be i need to pass variables to each function call which i guess really bad approach,fear
Cucumber,is there any possiblity to simplefy this using DI??,fear
Cucumber,its a crappy situation really,anger
Cucumber,i have an external service that SOMETIMES is down (too often for my taste),sadness
Cucumber,i can only verify that during a test,sadness
